,nombre,ciudad,salario,fecha_publicacion,fecha_vencimiento,años_exp,numero_vacantes
0,Work from home semi senior java developer / ref. 0003e,Cartagena,Salario a convenir,2023-03-28,2023-04-27,3,1
1,Work from home junior/midlevel java developer / ref. 0003e,Cali,Salario a convenir,2023-03-28,2023-04-27,2,1
2,Work from home junior/midlevel java developer / ref. 0003e,Medellín,Salario a convenir,2023-03-28,2023-04-27,2,1
3,Work from home semi senior java developer / ref. 0003e,Cúcuta,Salario a convenir,2023-03-28,2023-04-27,3,1
4,Work from home senior java developer / ref. 0003e,Cartagena,Salario a convenir,2023-03-28,2023-04-27,5,1
5,Work from home java backend architect / ref. 0003e,Medellín,Salario a convenir,2023-03-28,2023-04-27,6,1
6,Work from home java backend architect / ref. 0003e,Barranquilla,Salario a convenir,2023-03-28,2023-04-27,6,1
7,Work from home senior java developer / ref. 0003e,Medellín,Salario a convenir,2023-03-28,2023-04-27,5,1
8,Work from home junior/midlevel java developer / ref. 0003e,Barranquilla,Salario a convenir,2023-03-28,2023-04-27,2,1
9,Work from home java backend architect / ref. 0003e,Cali,Salario a convenir,2023-03-28,2023-04-27,6,1
10,Work from home .net engineer / research + development / ref. 0001e (rd),Cúcuta,Salario a convenir,2023-03-28,2023-04-27,4,1
11,Work from home senior .net developer / r + d / ref. 0001e (rd),Medellín,Salario a convenir,2023-03-28,2023-04-27,5,1
12,Work from home junior/midlevel .net developer / r + d / ref. 0001e (rd),Cali,Salario a convenir,2023-03-28,2023-04-27,2,1
13,Work from home senior .net developer / r + d / ref. 0001e (rd),Cali,Salario a convenir,2023-03-28,2023-04-27,5,1
14,Work from home senior .net developer / r + d / ref. 0001e (rd),Barranquilla,Salario a convenir,2023-03-28,2023-04-27,5,1
15,Work from home senior .net developer / r + d / ref. 0001e (rd),Bogotá,Salario a convenir,2023-03-28,2023-04-27,5,1
16,Work from home junior/midlevel .net developer / r + d / ref. 0001e (rd),Cúcuta,Salario a convenir,2023-03-28,2023-04-27,2,1
17,Work from home delivery director / ref. 0338e,Cartagena,Salario a convenir,2023-03-28,2023-04-27,6,1
18,Work from home python developer / research + development / ref. 0071e (rd),Cali,Salario a convenir,2023-03-28,2023-04-27,4,1
19,Work from home agile coach / r+d / ref. 0073e (rd),Cali,Salario a convenir,2023-03-29,2023-04-28,5,1
20,Work from home scrum master / r+d / ref. 0073e (rd),Barranquilla,Salario a convenir,2023-03-29,2023-04-28,4,1
21,Work from home scrum master / r+d / ref. 0073e (rd),Medellín,Salario a convenir,2023-03-29,2023-04-28,4,1
22,Work from home client solutions manager / r+d / ref. 0049e (rd),Medellín,Salario a convenir,2023-03-29,2023-04-28,5,1
23,Work from home client solutions manager / r+d / ref. 0049e (rd),Cali,Salario a convenir,2023-03-29,2023-04-28,5,1
24,Work from home angular tech lead / ref. 0615e,Cali,Salario a convenir,2023-03-29,2023-04-28,7,1
25,Work from home qa manager / research + development / ref. 0027e (rd),Bogotá,Salario a convenir,2023-03-29,2023-04-28,4,1
26,Work from home qa manager / research + development / ref. 0027e (rd),Barranquilla,Salario a convenir,2023-03-29,2023-04-28,4,1
27,Work from home security engineer / ref. 0069e,Cartagena,Salario a convenir,2023-03-29,2023-04-28,5,1
28,Work from home qa analyst senior / ref. 0027e,Medellín,Salario a convenir,2023-03-29,2023-04-28,5,1
29,Work from home qa analyst senior / ref. 0027e,Bogotá,Salario a convenir,2023-03-29,2023-04-28,5,1
30,Work from home devops tech lead / ref. 0121e,Bogotá,Salario a convenir,2023-03-29,2023-04-28,7,1
31,Work from home qa engineer / ref. 0027e,Bogotá,Salario a convenir,2023-03-29,2023-04-28,5,1
32,Work from home devops tech lead / ref. 0121e,Barranquilla,Salario a convenir,2023-03-29,2023-04-28,7,1
33,Work from home php architect / ref. 0021e,Medellín,Salario a convenir,2023-03-29,2023-04-28,6,1
